date,dam,hei,forced_release_bcm,peak_release_cusecs,release_day1_cusecs,inflow_day1_cusecs,rain_day1_mm,day_of_exhaustion,storage_basis
2023-08-14,Pong,0.11690521391668972,0.7197854020850576,147187.41902173034,69382.83328132235,374722.5232870807,35.027291392333375,1.0,model
2023-08-15,Pong,0.08849009238361073,0.5538745719000451,147585.68876300362,147585.68876300362,193185.68876300377,1.7936650232091629,1.0,model
2023-08-16,Pong,0.02839762937460531,0.19568909145751423,58719.775370812786,58719.775370812786,104319.77537081305,2.769864692595995,1.0,model
2023-08-17,Pong,-0.0017655724983176586,0.008615775044133578,3521.565095264999,0.0,63768.30024152187,3.332335835970801,2.0,cwc_level
2023-08-18,Pong,0.007320222485230212,0.04507060984156208,14502.081430695604,3919.8348365382894,49887.64727811264,2.030269211251276,1.0,model
2023-08-19,Pong,0.030170818421611543,0.18576172902186183,59855.81704126559,0.0,43473.94258000426,1.064501113473037,4.0,model
2023-08-20,Pong,0.055855331122155745,0.34390127371911206,63067.75688002618,0.0,41958.274011969515,1.8085482629782788,3.0,model
2023-08-21,Pong,0.07003902200102574,0.4312302584603138,63454.19761171413,0.0,46947.81553619405,12.030526533628317,2.0,model
2023-08-22,Pong,0.07616893047318431,0.46897210492339436,63844.54178513606,18445.1506059029,68465.11847773571,37.353083521960286,1.0,model
2023-08-23,Pong,0.06916281086389933,0.42768416351898875,64238.82882899683,61425.15873150954,107025.15873150973,36.099182269559655,1.0,model
2023-08-24,Pong,0.001830172613601994,0.021306928843034534,8708.878367479594,0.0,110237.09857027045,11.797576793221848,3.0,cwc
2023-08-25,Pong,-0.0002207948174701753,0.023297704815034237,9501.43515261402,0.0,81294.37489886039,6.0684911841712985,2.0,model
2023-08-26,Pong,-0.002393745728263476,0.02523675486400201,9899.70489388731,9899.70489388731,61026.39732982977,0.1504645070130207,1.0,model
2023-08-27,Pong,-0.0078052718360146645,0.001990775971999703,813.6989579666321,813.6989579666321,46413.69895796657,2.1262321139058886,1.0,model
2023-08-28,Pong,-0.008419970025687158,0.0,0.0,0.0,43435.43881048319,0.3945461711978744,,model
2023-08-29,Pong,-0.008582816771819424,0.0,0.0,0.0,40438.57896965989,0.047301840379833,,model
2023-08-30,Pong,-0.00938483936437764,0.0,0.0,0.0,40131.59793814861,0.0,,model
2023-08-31,Pong,-0.07895835534832973,0.0,0.0,0.0,41881.17334842061,4.853002911011616,,cwc
2023-09-01,Pong,-0.0782479589925079,0.0,0.0,0.0,44866.762563257915,4.76363471780929,,model
2023-09-02,Pong,-0.07995879846752972,0.0,0.0,0.0,45190.18334105386,3.9482047179945807,,model
2023-09-03,Pong,-0.08172173195837139,0.0,0.0,0.0,43581.64699579177,0.0443413259410471,,model
2023-09-04,Pong,-0.0833969481747883,0.0,0.0,0.0,45491.04541747738,9.496926448444398,,model
2023-09-05,Pong,-0.08481048937543882,0.0,0.0,0.0,47387.76836495115,0.0651242673568555,,model
2023-09-06,Pong,-0.0846278013467352,0.0,0.0,0.0,41294.53775221721,0.3430223652192621,,cwc
2023-09-07,Pong,-0.08640013444818426,0.0,0.0,0.0,41163.439059603275,0.0,,model
2023-09-08,Pong,-0.08821874130066466,0.0,0.0,0.0,41384.186487417544,3.2774917844985243,,model
2023-09-09,Pong,-0.08981968884370337,0.0,0.0,0.0,42042.712268484924,0.0865405487129408,,model
2023-09-10,Pong,-0.09013838950417993,0.0,0.0,0.0,40858.32883976151,1.5008191009885852,,model
2023-09-11,Pong,-0.08513605016769124,0.0,0.0,0.0,41139.78419939881,0.2163602117956752,,model
2023-09-12,Pong,-0.0786031352986827,0.0,0.0,0.0,41023.332661403736,2.0917877110227607,,model
2023-09-13,Pong,-0.07340252877944502,0.0,0.0,0.0,41571.08945177576,0.6953687862850354,,model
2023-09-14,Pong,-0.061825835367337,0.0,0.0,0.0,44797.964693907015,10.13885563178247,,cwc
2023-09-15,Pong,-0.05200658205466598,0.0,0.0,0.0,58188.78081684274,23.01563813245182,,model
2023-09-16,Pong,-0.04961776506890719,0.0,0.0,0.0,62040.59465961156,1.4330455306974852,,model
2023-09-17,Pong,-0.049412327318837324,0.0,0.0,0.0,58687.73579348587,19.405704751895943,,model
