date,district,flooded_ha,fraction
2015-07-04,Moga,0.0,0.0
2015-07-04,Muktsar,0.0,0.0
2015-07-04,Nawanshahr,0.0,0.0
2015-07-04,Patiala,0.0,0.0
2015-07-04,Rupnagar,0.0,0.0
2015-07-04,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-04,Sangrur,0.0,0.0
2015-07-04,Tarn Taran,0.0,0.0
2015-07-05,Amritsar,0.0,0.0
2015-07-05,Barnala,0.0,0.0
2015-07-05,Bathinda,0.0,0.0
2015-07-05,Faridkot,0.0,0.0
2015-07-05,Fatehgarh Sahib,0.0,0.0
2015-07-05,Firozpur,0.0,0.0
2015-07-05,Gurdaspur,0.0,0.0
2015-07-05,Hoshiarpur,0.0,0.0
2015-07-05,Jalandhar,0.0,0.0
2015-07-05,Kapurthala,0.0,0.0
2015-07-05,Ludhiana,0.0,0.0
2015-07-05,Mansa,0.0,0.0
2015-07-05,Moga,0.0,0.0
2015-07-05,Muktsar,0.0,0.0
2015-07-05,Nawanshahr,0.0,0.0
2015-07-05,Patiala,0.0,0.0
2015-07-05,Rupnagar,0.0,0.0
2015-07-05,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-05,Sangrur,0.0,0.0
2015-07-05,Tarn Taran,0.0,0.0
2015-07-06,Amritsar,0.0,0.0
2015-07-06,Barnala,0.0,0.0
2015-07-06,Bathinda,0.0,0.0
2015-07-06,Faridkot,0.0,0.0
2015-07-06,Fatehgarh Sahib,0.0,0.0
2015-07-06,Firozpur,0.0,0.0
2015-07-06,Gurdaspur,0.0,0.0
2015-07-06,Hoshiarpur,0.0,0.0
2015-07-06,Jalandhar,0.0,0.0
2015-07-06,Kapurthala,0.0,0.0
2015-07-06,Ludhiana,0.0,0.0
2015-07-06,Mansa,0.0,0.0
2015-07-06,Moga,0.0,0.0
2015-07-06,Muktsar,0.0,0.0
2015-07-06,Nawanshahr,0.0,0.0
2015-07-06,Patiala,0.0,0.0
2015-07-06,Rupnagar,0.0,0.0
2015-07-06,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-06,Sangrur,0.0,0.0
2015-07-06,Tarn Taran,0.0,0.0
2015-07-07,Amritsar,0.0,0.0
2015-07-07,Barnala,0.0,0.0
2015-07-07,Bathinda,0.0,0.0
2015-07-07,Faridkot,0.0,0.0
2015-07-07,Fatehgarh Sahib,0.0,0.0
2015-07-07,Firozpur,0.0,0.0
2015-07-07,Gurdaspur,0.0,0.0
2015-07-07,Hoshiarpur,0.0,0.0
2015-07-07,Jalandhar,0.0,0.0
2015-07-07,Kapurthala,0.0,0.0
2015-07-07,Ludhiana,0.0,0.0
2015-07-07,Mansa,0.0,0.0
2015-07-07,Moga,0.0,0.0
2015-07-07,Muktsar,0.0,0.0
2015-07-07,Nawanshahr,0.0,0.0
2015-07-07,Patiala,0.0,0.0
2015-07-07,Rupnagar,0.0,0.0
2015-07-07,Sahibzada Ajit Singh Nagar,0.0,0.0
2015-07-07,Sangrur,0.0,0.0
2015-07-07,Tarn Taran,0.0,0.0
2015-07-08,Amritsar,0.0,0.0
2015-07-08,Barnala,0.0,0.0
2015-07-08,Bathinda,0.0,0.0
2015-07-08,Faridkot,0.0,0.0
2015-07-08,Fatehgarh Sahib,0.0,0.0
2015-07-08,Firozpur,0.0,0.0
2015-07-08,Gurdaspur,0.0,0.0
2015-07-08,Hoshiarpur,0.0,0.0
