district,year,window_start,window_end,district_mm,district_mm_lag1,district_mm_lag2,district_first3d,district_first5d,district_max1d,district_max3d,district_p90,api_start
Rupnagar,2018,2018-08-24,2018-09-03,81.746,22.175,205.091,36.834,37.281,20.609,36.834,16.577,84.959
Sahibzada Ajit Singh Nagar,2018,2018-08-24,2018-09-03,56.642,59.97,135.092,25.533,29.647,20.987,25.533,16.789,85.156
Sangrur,2018,2018-08-24,2018-09-03,6.736,29.649,28.529,2.654,2.883,3.413,3.642,2.622,29.762
Shahid Bhagat Singh Nagar,2018,2018-08-24,2018-09-03,63.726,19.189,93.839,23.461,23.692,24.928,25.989,12.112,47.775
Tarn Taran,2018,2018-08-24,2018-09-03,4.97,39.341,40.078,0.362,2.295,1.933,2.675,1.647,41.979
Amritsar,2018,2018-09-03,2018-09-13,29.847,2.651,26.792,2.527,4.324,13.992,23.294,7.36,13.04
Barnala,2018,2018-09-03,2018-09-13,29.046,7.222,53.845,8.788,8.79,17.354,18.793,6.396,22.992
Bathinda,2018,2018-09-03,2018-09-13,7.756,0.717,32.677,1.202,1.202,4.733,4.883,1.921,10.569
Faridkot,2018,2018-09-03,2018-09-13,7.445,0.06,28.041,0.0,0.0,5.18,6.614,1.809,7.99
Fatehgarh Sahib,2018,2018-09-03,2018-09-13,70.475,61.321,53.786,39.038,47.506,27.556,39.038,15.866,73.315
Firozpur,2018,2018-09-03,2018-09-13,5.272,0.666,18.919,0.163,0.339,2.572,4.187,1.678,5.702
Gurdaspur,2018,2018-09-03,2018-09-13,23.284,36.443,79.21,5.023,14.656,6.041,12.099,4.976,55.085
Hoshiarpur,2018,2018-09-03,2018-09-13,66.061,70.873,90.267,34.026,38.564,19.804,34.026,17.477,91.042
Jalandhar,2018,2018-09-03,2018-09-13,61.846,21.698,72.484,14.695,16.053,26.578,41.832,14.753,39.938
Kapurthala,2018,2018-09-03,2018-09-13,88.749,14.081,76.487,17.385,20.26,29.046,64.707,27.606,35.849
Ludhiana,2018,2018-09-03,2018-09-13,97.645,21.835,22.076,16.54,23.737,47.881,70.748,17.921,28.517
Mansa,2018,2018-09-03,2018-09-13,4.332,2.474,24.34,2.522,2.528,2.041,2.522,1.492,7.915
Moga,2018,2018-09-03,2018-09-13,22.687,4.498,54.412,3.983,5.336,13.487,14.906,3.456,22.301
Muktsar,2018,2018-09-03,2018-09-13,8.3,0.0,25.896,0.0,0.0,4.042,4.316,3.967,6.536
Patiala,2018,2018-09-03,2018-09-13,60.55,47.209,59.769,27.677,46.334,17.221,30.606,13.815,55.271
Rupnagar,2018,2018-09-03,2018-09-13,146.484,81.746,22.175,48.021,58.251,41.844,69.35,27.876,82.499
