x,y,district,VV_flood,VH_flood,dVV,dVH,slope,label
465287.3686490393,3520377.4483208344,Amritsar,-5.6929802894592285,-12.503827095031738,1.066320538520813,1.968266248703003,0.12599731981754303,0
524507.3686490393,3493197.4483208344,Amritsar,-8.075315475463867,-13.452598571777344,1.9141156673431396,1.888042688369751,0.05410296842455864,0
460697.3686490393,3508587.4483208344,Amritsar,-7.556143760681152,-13.501535415649414,-0.3500059247016907,1.6724895238876343,0.2932702600955963,0
513887.3686490393,3493737.4483208344,Amritsar,-7.201107025146484,-13.4940767288208,0.431937038898468,1.3701171875,0.14325186610221863,0
462317.3686490393,3499497.4483208344,Amritsar,-9.260053634643555,-14.013585090637207,-2.57847261428833,1.1696691513061523,0.10354222357273102,0
520457.3686490393,3488697.4483208344,Amritsar,-5.0479536056518555,-12.901854515075684,0.8770214915275574,0.6640622019767761,0.039271630346775055,0
469787.3686490393,3508317.4483208344,Amritsar,-6.513069152832031,-12.38692855834961,0.38553711771965027,2.028225898742676,1.375830888748169,0
525407.3686490393,3499407.4483208344,Amritsar,-6.299154281616211,-13.501588821411133,1.173938274383545,3.6949398517608643,0.21082040667533875,0
497687.3686490393,3506337.4483208344,Amritsar,-6.175378322601318,-12.356613159179688,2.428828239440918,2.241384983062744,0.6930190324783325,0
485537.3686490393,3503367.4483208344,Amritsar,-2.9789865016937256,-11.21548843383789,2.241050958633423,1.6651220321655273,0.9629100561141968,0
499127.3686490393,3504357.4483208344,Amritsar,-8.506730079650879,-13.297979354858398,-0.007026526611298323,2.0842974185943604,0.1318628340959549,0
531977.3686490393,3498507.4483208344,Amritsar,-10.15054702758789,-14.9276762008667,-0.03367774188518524,0.7825332283973694,0.11214320361614227,0
478697.3686490393,3493197.4483208344,Amritsar,-9.22670841217041,-13.760168075561523,-0.3905389904975891,2.095940351486206,0.09899203479290009,0
473207.3686490393,3520827.4483208344,Amritsar,-7.937620639801025,-13.392263412475586,-0.1731014847755432,3.092451572418213,0.2502216398715973,0
504077.3686490393,3490497.4483208344,Amritsar,-7.737465858459473,-13.418293952941895,0.2436322420835495,2.80517840385437,0.022714456543326378,0
463307.3686490393,3510387.4483208344,Amritsar,-2.5607311725616455,-14.352410316467285,2.6099894046783447,1.4184744358062744,0.2849615216255188,0
488057.3686490393,3499407.4483208344,Amritsar,0.6626657843589783,-9.105472564697266,5.643592834472656,1.7703303098678589,1.1219656467437744,0
516317.3686490393,3507147.4483208344,Amritsar,-9.283004760742188,-13.654877662658691,-0.44138097763061523,1.7032651901245117,0.06811624765396118,0
467357.3686490393,3499857.4483208344,Amritsar,-8.49246597290039,-13.143634796142578,-1.1896843910217285,3.387302875518799,0.09687499701976776,0
494087.3686490393,3514257.4483208344,Amritsar,-7.860805511474609,-13.351336479187012,1.4059721231460571,1.9292811155319214,0.046463899314403534,0
468527.3686490393,3516687.4483208344,Amritsar,-7.401052474975586,-13.869274139404297,0.09885761141777039,1.7258386611938477,0.1314469873905182,0
508847.3686490393,3489687.4483208344,Amritsar,-8.725818634033203,-13.116809844970703,0.054092034697532654,2.4061150550842285,0.08067985624074936,0
518747.3686490393,3507327.4483208344,Amritsar,-7.25582218170166,-12.255854606628418,0.43819814920425415,2.1284804344177246,0.06799883395433426,0
517487.3686490393,3498957.4483208344,Amritsar,-7.212245464324951,-14.850618362426758,-0.44754090905189514,-0.23906280100345612,0.19083264470100403,0
486617.3686490393,3533517.4483208344,Amritsar,-7.460001468658447,-14.050951957702637,1.755628228187561,1.3421961069107056,0.0755014568567276,0
524147.3686490393,3495267.4483208344,Amritsar,-8.984199523925781,-13.327537536621094,0.5032520294189453,1.662804365158081,0.20306278765201569,0
471137.3686490393,3512097.4483208344,Amritsar,-7.288305282592773,-13.800914764404297,-0.17234157025814056,4.247529983520508,0.14205732941627502,0
463487.3686490393,3496437.4483208344,Amritsar,-7.0285820960998535,-12.386726379394531,1.033443570137024,3.2213895320892334,0.12460535019636154,0
507407.3686490393,3490317.4483208344,Amritsar,-7.797332286834717,-12.836926460266113,-0.5582253336906433,3.6260526180267334,0.03711123391985893,0
499667.3686490393,3495717.4483208344,Amritsar,-8.783616065979004,-12.616159439086914,1.425115942955017,3.498805522918701,0.15247108042240143,0
489497.3686490393,3520467.4483208344,Amritsar,-5.167561054229736,-12.398436546325684,1.3470635414123535,3.058919906616211,0.27579841017723083,0
517307.3686490393,3495717.4483208344,Amritsar,-8.287683486938477,-13.16368579864502,-0.22657108306884766,3.2318620681762695,0.10703053325414658,0
