date,district,acq_fraction,bbox_fraction,era
2015-07-03,Patiala,1.0,1.0,era_unreliable
2015-07-03,Rupnagar,1.0,1.0,era_unreliable
2015-07-03,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-07-03,Sangrur,1.0,1.0,era_unreliable
2015-07-03,Tarn Taran,1.0,1.0,era_unreliable
2015-07-04,Amritsar,1.0,1.0,era_unreliable
2015-07-04,Barnala,1.0,1.0,era_unreliable
2015-07-04,Bathinda,1.0,1.0,era_unreliable
2015-07-04,Faridkot,1.0,1.0,era_unreliable
2015-07-04,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-04,Firozpur,1.0,1.0,era_unreliable
2015-07-04,Gurdaspur,1.0,1.0,era_unreliable
2015-07-04,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-04,Jalandhar,1.0,1.0,era_unreliable
2015-07-04,Kapurthala,1.0,1.0,era_unreliable
2015-07-04,Ludhiana,1.0,1.0,era_unreliable
2015-07-04,Mansa,1.0,1.0,era_unreliable
2015-07-04,Moga,1.0,1.0,era_unreliable
2015-07-04,Muktsar,1.0,1.0,era_unreliable
2015-07-04,Nawanshahr,1.0,1.0,era_unreliable
2015-07-04,Patiala,1.0,1.0,era_unreliable
2015-07-04,Rupnagar,1.0,1.0,era_unreliable
2015-07-04,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-07-04,Sangrur,1.0,1.0,era_unreliable
2015-07-04,Tarn Taran,1.0,1.0,era_unreliable
2015-07-05,Amritsar,1.0,1.0,era_unreliable
2015-07-05,Barnala,1.0,1.0,era_unreliable
2015-07-05,Bathinda,1.0,1.0,era_unreliable
2015-07-05,Faridkot,1.0,1.0,era_unreliable
2015-07-05,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-05,Firozpur,1.0,1.0,era_unreliable
2015-07-05,Gurdaspur,1.0,1.0,era_unreliable
2015-07-05,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-05,Jalandhar,1.0,1.0,era_unreliable
2015-07-05,Kapurthala,1.0,1.0,era_unreliable
2015-07-05,Ludhiana,1.0,1.0,era_unreliable
2015-07-05,Mansa,1.0,1.0,era_unreliable
2015-07-05,Moga,1.0,1.0,era_unreliable
2015-07-05,Muktsar,1.0,1.0,era_unreliable
2015-07-05,Nawanshahr,1.0,1.0,era_unreliable
2015-07-05,Patiala,1.0,1.0,era_unreliable
2015-07-05,Rupnagar,1.0,1.0,era_unreliable
2015-07-05,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-07-05,Sangrur,1.0,1.0,era_unreliable
2015-07-05,Tarn Taran,1.0,1.0,era_unreliable
2015-07-06,Amritsar,1.0,1.0,era_unreliable
2015-07-06,Barnala,1.0,1.0,era_unreliable
2015-07-06,Bathinda,1.0,1.0,era_unreliable
2015-07-06,Faridkot,1.0,1.0,era_unreliable
2015-07-06,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-06,Firozpur,1.0,1.0,era_unreliable
2015-07-06,Gurdaspur,1.0,1.0,era_unreliable
2015-07-06,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-06,Jalandhar,1.0,1.0,era_unreliable
2015-07-06,Kapurthala,1.0,1.0,era_unreliable
2015-07-06,Ludhiana,1.0,1.0,era_unreliable
2015-07-06,Mansa,1.0,1.0,era_unreliable
2015-07-06,Moga,1.0,1.0,era_unreliable
2015-07-06,Muktsar,1.0,1.0,era_unreliable
2015-07-06,Nawanshahr,1.0,1.0,era_unreliable
2015-07-06,Patiala,1.0,1.0,era_unreliable
2015-07-06,Rupnagar,1.0,1.0,era_unreliable
2015-07-06,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-07-06,Sangrur,1.0,1.0,era_unreliable
2015-07-06,Tarn Taran,1.0,1.0,era_unreliable
2015-07-07,Amritsar,1.0,1.0,era_unreliable
2015-07-07,Barnala,1.0,1.0,era_unreliable
2015-07-07,Bathinda,1.0,1.0,era_unreliable
2015-07-07,Faridkot,1.0,1.0,era_unreliable
2015-07-07,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-07,Firozpur,1.0,1.0,era_unreliable
2015-07-07,Gurdaspur,1.0,1.0,era_unreliable
2015-07-07,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-07,Jalandhar,1.0,1.0,era_unreliable
2015-07-07,Kapurthala,1.0,1.0,era_unreliable
2015-07-07,Ludhiana,1.0,1.0,era_unreliable
2015-07-07,Mansa,1.0,1.0,era_unreliable
2015-07-07,Moga,1.0,1.0,era_unreliable
2015-07-07,Muktsar,1.0,1.0,era_unreliable
2015-07-07,Nawanshahr,1.0,1.0,era_unreliable
2015-07-07,Patiala,1.0,1.0,era_unreliable
2015-07-07,Rupnagar,1.0,1.0,era_unreliable
2015-07-07,Sahibzada Ajit Singh Nagar,1.0,1.0,era_unreliable
2015-07-07,Sangrur,1.0,1.0,era_unreliable
2015-07-07,Tarn Taran,1.0,1.0,era_unreliable
2015-07-08,Amritsar,1.0,1.0,era_unreliable
2015-07-08,Barnala,1.0,1.0,era_unreliable
2015-07-08,Bathinda,1.0,1.0,era_unreliable
2015-07-08,Faridkot,1.0,1.0,era_unreliable
2015-07-08,Fatehgarh Sahib,1.0,1.0,era_unreliable
2015-07-08,Firozpur,1.0,1.0,era_unreliable
2015-07-08,Gurdaspur,1.0,1.0,era_unreliable
2015-07-08,Hoshiarpur,1.0,1.0,era_unreliable
2015-07-08,Jalandhar,1.0,1.0,era_unreliable
2015-07-08,Kapurthala,1.0,1.0,era_unreliable
2015-07-08,Ludhiana,1.0,1.0,era_unreliable
2015-07-08,Mansa,1.0,1.0,era_unreliable
2015-07-08,Moga,1.0,1.0,era_unreliable
2015-07-08,Muktsar,1.0,1.0,era_unreliable
2015-07-08,Nawanshahr,1.0,1.0,era_unreliable
